"item_id","course_id","unit_nm","item_content","item_choices","item_answer","item_explain","item_type_cd","item_diff_cd","file_path","ins_user_type_cd","ins_user_id","ins_dt","upd_user_id","upd_dt","del_yn"
ITEM-506808-25b80d,"506808",cpp_02_기본입문,"﻿다음 코드의 실행 결과는?

#include <iostream>

namespace hallym {
    int year = 2025;
}
int year = 2024;

int main() {
    std::cout << hallym::year;
    return 0;
}","{""1"":""2024"",""2"":""2025"",""3"":""0"",""4"":""﻿컴파일 오류가 발생한다.""}","2","",MC,M,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:15:37.218,N
ITEM-506808-f65a58,"506808",cpp_02_기본입문,"﻿아래 코드가 컴파일되지 않는 이유는?

﻿#include <iostream>
int main() {
    cout << ""Namespace test"";
    return 0;
}","{""1"":""﻿main 함수가 int를 반환할 수 없기 때문에"",""2"":""﻿cout이 std 이름 공간에 속해있어 std::cout으로 사용해야 하기 때문에"",""3"":""﻿문자열은 큰따옴표를 사용할 수 없기 때문에"",""4"":""﻿헤더 파일이 잘못되었기 때문에""}","2","",MC,E,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:14:13.917,N
ITEM-506808-7de1a9,"506808",cpp_02_기본입문,"﻿C++에서 std::cout << std::hex; 코드를 사용했을 때, 이어지는 정수 출력의 진법은?","{""1"":""﻿2진수"",""2"":""﻿8진수"",""3"":""﻿10진수"",""4"":""﻿16진수""}","4","",MC,E,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:22:14.331,N
ITEM-506808-6b3f31,"506808",cpp_02_기본입문,"﻿화면에 문자열 ""C++""과 함께 줄바꿈을 실행하는 코드로 올바른 것은?","{""1"":""﻿std::cin << \""C++\"" << std::endl;"",""2"":""﻿std::cout >> \""C++\"" >> std::endl;"",""3"":""﻿std::cout << \""C++\"" << std::endl;"",""4"":""﻿std::cin >> \""C++\"" >> std::endl;""}","3","",MC,E,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:10:44.338,N
ITEM-506808-206465,"506808",cpp_02_기본입문,﻿사용자로부터 너비(width)와 높이(height)를 한 줄에 입력 받아 각 변수에 저장하는 코드로 올바른 것은?,"{""1"":""﻿std::cin << width << height;"",""2"":""﻿std::cout >> width >> height;"",""3"":""﻿std::cin >> width >> height;"",""4"":""﻿std::cout << width << height;""}","3","",MC,E,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:17:07.112,N
ITEM-506808-7cc5af,"506808",cpp_02_기본입문,"﻿다음 bool 타입을 사용한 코드의 실행 결과는?

#include <iostream>
int main() {
    bool result = (5 > 3);
    std::cout << result;
    return 0;
}","{""1"":""0"",""2"":""1"",""3"":""true"",""4"":""false""}","2","(5 > 3)은 참(true)이며, bool 타입의 true는 cout으로 출력 시 기본적으로 정수 1로 변환됩니다.",MC,M,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:18:24.694,N
ITEM-506808-8093f0,"506808",cpp_02_기본입문,"﻿다음 코드의 실행 결과는?

#include <iostream>
int main() {
    int a = 5;
    double b = 2.5;
    std::cout << a + b;
    return 0;
}","{""1"":""7"",""2"":""7.0"",""3"":""7.5"",""4"":""﻿컴파일 오류가 발생한다.""}","3",정수(int)와 실수(double)의 연산 시에는 표현 범위가 더 넓은 실수 타입으로 자동 형 변환되어 계산됩니다.,MC,E,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:19:53.727,N
ITEM-506808-965c3f,"506808",cpp_02_기본입문,"﻿enum class Day { SUN = 0, MON, TUE }; 와 같이 선언되었을 때, Day::MON의 정수 값은?","{""1"":""0"",""2"":""1"",""3"":""2"",""4"":""알 수 없다.""}","2","",MC,M,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:24:55.930,N
ITEM-506808-2c585a,"506808",cpp_02_기본입문,"﻿다음 코드에서 오류가 발생하는 라인은?

enum class Color { Red, Blue };

int main() {
    Color c = Color::Red; 
    int num = 1;          
    if (c == Color::Blue) {} 
    if (c == num) {}         
    return 0;
}","{""1"":""﻿Color c = Color::Red;"",""2"":""int num = 1;"",""3"":""﻿if (c == Color::Blue) {}"",""4"":""﻿if (c == num) {}""}","4",enum class는 강력한 타입 검사를 하므로 다른 타입인 int형 변수와 직접 비교할 수 없습니다.,MC,H,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:26:40.092,N
ITEM-506808-55d126,"506808",cpp_02_기본입문,﻿다음 중 auto 키워드를 사용할 수 없어 컴파일 오류가 발생하는 경우는?,"{""1"":""﻿auto x = 100;"",""2"":""﻿for (auto c : \""hello\"") { }"",""3"":""﻿auto add(int a, int b) { return a + b; }"",""4"":""﻿void print(auto data);""}","4",auto는 함수의 매개변수 타입으로 사용할 수 없습니다.,MC,H,,LLM,"20994",2025-09-02 05:05:40.773,"20994",2025-09-02 14:30:37.443,N
